image_path,label,target_person_id
dataset/test\n000023\0315_01.jpg,genuine,n000023
dataset/test\n000021\0158_02.jpg,genuine,n000021
dataset/test\n000026\0307_01.jpg,genuine,n000026
dataset/test\n000026\0111_01.jpg,genuine,n000026
dataset/test\n000004\0156_01.jpg,impostor,n000011
dataset/test\n000025\0080_02.jpg,impostor,n000022
dataset/test\n000022\0412_01.jpg,impostor,n000033
dataset/test\n000006\0374_01.jpg,impostor,n000013
dataset/test\n000005\0091_01.jpg,impostor,n000014
dataset/test\n000027\0068_01.jpg,impostor,n000025
dataset/test\n000020\0349_01.jpg,impostor,n000025
dataset/test\n000025\0098_02.jpg,impostor,n000018
dataset/test\n000007\0152_01.jpg,genuine,n000007
dataset/test\n000024\0013_01.jpg,impostor,n000032
dataset/test\n000015\0389_01.jpg,impostor,n000010
dataset/test\n000027\0332_02.jpg,impostor,n000033
dataset/test\n000017\0234_01.jpg,genuine,n000017
dataset/test\n000006\0226_01.jpg,genuine,n000006
dataset/test\n000006\0488_01.jpg,genuine,n000006
dataset/test\n000016\0235_01.jpg,impostor,n000022
dataset/test\n000019\0029_01.jpg,impostor,n000024
dataset/test\n000030\0176_03.jpg,impostor,n000015
dataset/test\n000031\0060_02.jpg,genuine,n000031
dataset/test\n000004\0062_01.jpg,genuine,n000004
dataset/test\n000018\0275_01.jpg,impostor,n000030
dataset/test\n000012\0342_02.jpg,impostor,n000027
dataset/test\n000007\0419_01.jpg,genuine,n000007
dataset/test\n000002\0300_02.jpg,genuine,n000002
dataset/test\n000016\0236_01.jpg,impostor,n000018
dataset/test\n000003\0249_01.jpg,genuine,n000003
dataset/test\n000008\0059_01.jpg,genuine,n000008
dataset/test\n000010\0059_01.jpg,genuine,n000010
dataset/test\n000033\0046_01.jpg,impostor,n000016
dataset/test\n000013\0190_02.jpg,genuine,n000013
dataset/test\n000006\0512_01.jpg,impostor,n000031
dataset/test\n000002\0162_01.jpg,genuine,n000002
dataset/test\n000017\0188_02.jpg,genuine,n000017
dataset/test\n000031\0096_01.jpg,genuine,n000031
dataset/test\n000027\0125_01.jpg,impostor,n000006
dataset/test\n000014\0135_01.jpg,genuine,n000014
dataset/test\n000030\0191_01.jpg,impostor,n000026
dataset/test\n000004\0217_02.jpg,impostor,n000005
dataset/test\n000015\0040_01.jpg,genuine,n000015
dataset/test\n000023\0014_01.jpg,impostor,n000004
dataset/test\n000006\0353_01.jpg,impostor,n000030
dataset/test\n000032\0040_01.jpg,genuine,n000032
dataset/test\n000014\0060_01.jpg,impostor,n000022
dataset/test\n000012\0189_01.jpg,impostor,n000025
dataset/test\n000023\0238_01.jpg,genuine,n000023
dataset/test\n000010\0051_01.jpg,impostor,n000032
dataset/test\n000027\0119_01.jpg,genuine,n000027
dataset/test\n000014\0270_01.jpg,impostor,n000020
dataset/test\n000006\0274_01.jpg,genuine,n000006
dataset/test\n000019\0304_03.jpg,genuine,n000019
dataset/test\n000006\0426_01.jpg,genuine,n000006
dataset/test\n000006\0207_01.jpg,impostor,n000012
dataset/test\n000020\0471_01.jpg,impostor,n000014
dataset/test\n000022\0138_01.jpg,genuine,n000022
dataset/test\n000012\0425_01.jpg,impostor,n000021
dataset/test\n000027\0144_01.jpg,impostor,n000023
dataset/test\n000028\0181_04.jpg,impostor,n000026
dataset/test\n000010\0176_01.jpg,impostor,n000014
dataset/test\n000016\0467_01.jpg,impostor,n000017
dataset/test\n000031\0026_01.jpg,impostor,n000025
dataset/test\n000025\0036_01.jpg,impostor,n000004
dataset/test\n000031\0259_01.jpg,impostor,n000020
dataset/test\n000025\0016_01.jpg,genuine,n000025
dataset/test\n000024\0115_01.jpg,impostor,n000011
dataset/test\n000017\0184_04.jpg,genuine,n000017
dataset/test\n000023\0106_02.jpg,genuine,n000023
dataset/test\n000010\0014_01.jpg,impostor,n000024
dataset/test\n000006\0288_01.jpg,genuine,n000006
dataset/test\n000015\0053_01.jpg,genuine,n000015
dataset/test\n000011\0044_01.jpg,impostor,n000017
dataset/test\n000008\0042_02.jpg,impostor,n000011
dataset/test\n000014\0098_01.jpg,genuine,n000014
dataset/test\n000020\0094_06.jpg,genuine,n000020
dataset/test\n000026\0229_01.jpg,genuine,n000026
dataset/test\n000026\0080_01.jpg,impostor,n000006
dataset/test\n000027\0470_01.jpg,genuine,n000027
dataset/test\n000004\0230_01.jpg,impostor,n000020
dataset/test\n000023\0078_01.jpg,impostor,n000014
dataset/test\n000026\0339_02.jpg,impostor,n000003
dataset/test\n000033\0056_02.jpg,impostor,n000004
dataset/test\n000018\0232_01.jpg,impostor,n000022
dataset/test\n000017\0214_01.jpg,genuine,n000017
dataset/test\n000005\0222_02.jpg,genuine,n000005
dataset/test\n000021\0014_03.jpg,genuine,n000021
dataset/test\n000031\0021_01.jpg,genuine,n000031
dataset/test\n000002\0148_01.jpg,genuine,n000002
dataset/test\n000003\0155_01.jpg,genuine,n000003
dataset/test\n000022\0395_01.jpg,impostor,n000027
dataset/test\n000027\0411_01.jpg,impostor,n000006
dataset/test\n000016\0288_01.jpg,genuine,n000016
dataset/test\n000032\0126_01.jpg,impostor,n000031
dataset/test\n000030\0094_01.jpg,impostor,n000013
dataset/test\n000033\0402_01.jpg,impostor,n000018
dataset/test\n000019\0102_02.jpg,genuine,n000019
dataset/test\n000019\0104_01.jpg,impostor,n000024
dataset/test\n000027\0064_01.jpg,impostor,n000004
dataset/test\n000005\0074_01.jpg,impostor,n000014
dataset/test\n000012\0360_01.jpg,genuine,n000012
dataset/test\n000002\0176_01.jpg,genuine,n000002
dataset/test\n000021\0168_01.jpg,genuine,n000021
dataset/test\n000016\0302_01.jpg,genuine,n000016
dataset/test\n000006\0045_04.jpg,genuine,n000006
dataset/test\n000023\0052_01.jpg,genuine,n000023
dataset/test\n000013\0145_01.jpg,impostor,n000030
dataset/test\n000024\0356_01.jpg,genuine,n000024
dataset/test\n000018\0134_01.jpg,impostor,n000006
dataset/test\n000027\0064_01.jpg,genuine,n000027
dataset/test\n000025\0057_01.jpg,impostor,n000032
dataset/test\n000019\0292_04.jpg,genuine,n000019
dataset/test\n000002\0141_01.jpg,genuine,n000002
dataset/test\n000002\0129_01.jpg,impostor,n000010
dataset/test\n000020\0101_01.jpg,genuine,n000020
dataset/test\n000008\0207_01.jpg,genuine,n000008
dataset/test\n000032\0125_01.jpg,impostor,n000019
dataset/test\n000012\0281_01.jpg,genuine,n000012
dataset/test\n000016\0325_01.jpg,genuine,n000016
dataset/test\n000023\0140_01.jpg,impostor,n000020
dataset/test\n000006\0103_01.jpg,genuine,n000006
dataset/test\n000022\0308_01.jpg,impostor,n000016
dataset/test\n000024\0301_01.jpg,genuine,n000024
dataset/test\n000026\0036_01.jpg,genuine,n000026
dataset/test\n000018\0210_02.jpg,impostor,n000024
dataset/test\n000023\0080_02.jpg,genuine,n000023
dataset/test\n000022\0048_02.jpg,impostor,n000031
dataset/test\n000015\0083_01.jpg,genuine,n000015
dataset/test\n000014\0139_02.jpg,impostor,n000012
dataset/test\n000005\0112_02.jpg,impostor,n000016
dataset/test\n000006\0505_01.jpg,impostor,n000020
dataset/test\n000015\0180_01.jpg,impostor,n000028
dataset/test\n000002\0186_01.jpg,genuine,n000002
dataset/test\n000008\0113_01.jpg,impostor,n000019
dataset/test\n000026\0013_01.jpg,genuine,n000026
dataset/test\n000024\0311_01.jpg,genuine,n000024
dataset/test\n000018\0015_02.jpg,genuine,n000018
dataset/test\n000008\0098_01.jpg,genuine,n000008
dataset/test\n000006\0446_01.jpg,genuine,n000006
dataset/test\n000002\0044_01.jpg,impostor,n000012
dataset/test\n000022\0116_01.jpg,impostor,n000019
dataset/test\n000026\0175_01.jpg,genuine,n000026
dataset/test\n000006\0279_01.jpg,impostor,n000019
dataset/test\n000004\0272_01.jpg,genuine,n000004
dataset/test\n000023\0057_01.jpg,genuine,n000023
dataset/test\n000027\0037_01.jpg,impostor,n000028
dataset/test\n000026\0044_01.jpg,impostor,n000023
dataset/test\n000002\0273_01.jpg,genuine,n000002
dataset/test\n000020\0449_01.jpg,genuine,n000020
dataset/test\n000026\0056_02.jpg,genuine,n000026
dataset/test\n000030\0059_01.jpg,impostor,n000028
dataset/test\n000025\0143_01.jpg,genuine,n000025
dataset/test\n000012\0066_01.jpg,impostor,n000014
dataset/test\n000032\0091_01.jpg,impostor,n000007
dataset/test\n000030\0122_02.jpg,genuine,n000030
dataset/test\n000025\0084_01.jpg,impostor,n000031
dataset/test\n000004\0201_01.jpg,impostor,n000031
dataset/test\n000021\0077_01.jpg,genuine,n000021
dataset/test\n000032\0556_01.jpg,impostor,n000006
dataset/test\n000024\0045_01.jpg,genuine,n000024
dataset/test\n000023\0070_01.jpg,impostor,n000005
dataset/test\n000031\0112_01.jpg,impostor,n000003
dataset/test\n000008\0094_01.jpg,impostor,n000017
dataset/test\n000004\0061_03.jpg,impostor,n000033
dataset/test\n000006\0129_01.jpg,impostor,n000023
dataset/test\n000002\0247_01.jpg,impostor,n000007
dataset/test\n000027\0071_01.jpg,genuine,n000027
dataset/test\n000018\0055_01.jpg,genuine,n000018
dataset/test\n000023\0207_05.jpg,genuine,n000023
dataset/test\n000013\0258_01.jpg,impostor,n000012
dataset/test\n000027\0439_01.jpg,impostor,n000028
dataset/test\n000026\0078_01.jpg,impostor,n000007
dataset/test\n000031\0145_01.jpg,impostor,n000032
dataset/test\n000020\0445_01.jpg,genuine,n000020
dataset/test\n000010\0095_01.jpg,impostor,n000013
dataset/test\n000014\0097_01.jpg,impostor,n000016
dataset/test\n000022\0053_01.jpg,impostor,n000006
dataset/test\n000013\0097_01.jpg,impostor,n000023
dataset/test\n000007\0432_01.jpg,impostor,n000004
dataset/test\n000021\0186_01.jpg,impostor,n000003
dataset/test\n000012\0004_01.jpg,genuine,n000012
dataset/test\n000031\0023_01.jpg,impostor,n000016
dataset/test\n000021\0213_03.jpg,genuine,n000021
dataset/test\n000012\0097_02.jpg,impostor,n000027
dataset/test\n000025\0058_01.jpg,genuine,n000025
dataset/test\n000021\0021_01.jpg,genuine,n000021
dataset/test\n000007\0169_01.jpg,genuine,n000007
dataset/test\n000018\0013_01.jpg,impostor,n000008
dataset/test\n000008\0095_01.jpg,impostor,n000006
dataset/test\n000013\0022_02.jpg,genuine,n000013
dataset/test\n000022\0177_01.jpg,genuine,n000022
dataset/test\n000031\0197_01.jpg,genuine,n000031
dataset/test\n000027\0286_14.jpg,genuine,n000027
dataset/test\n000021\0116_01.jpg,impostor,n000016
dataset/test\n000026\0369_01.jpg,genuine,n000026
dataset/test\n000021\0058_01.jpg,impostor,n000032
dataset/test\n000022\0426_01.jpg,genuine,n000022
dataset/test\n000024\0135_01.jpg,genuine,n000024
dataset/test\n000028\0067_01.jpg,genuine,n000028
dataset/test\n000022\0331_08.jpg,genuine,n000022
dataset/test\n000011\0215_01.jpg,genuine,n000011
dataset/test\n000015\0409_01.jpg,genuine,n000015
dataset/test\n000022\0149_01.jpg,genuine,n000022
dataset/test\n000012\0038_02.jpg,genuine,n000012
dataset/test\n000033\0130_01.jpg,impostor,n000026
dataset/test\n000016\0346_01.jpg,genuine,n000016
dataset/test\n000002\0035_01.jpg,impostor,n000014
dataset/test\n000019\0041_01.jpg,impostor,n000003
dataset/test\n000026\0255_01.jpg,impostor,n000003
dataset/test\n000017\0105_01.jpg,impostor,n000003
dataset/test\n000022\0277_01.jpg,impostor,n000006
dataset/test\n000033\0165_01.jpg,genuine,n000033
dataset/test\n000023\0016_01.jpg,genuine,n000023
dataset/test\n000006\0018_01.jpg,impostor,n000013
dataset/test\n000016\0477_02.jpg,genuine,n000016
dataset/test\n000007\0191_01.jpg,impostor,n000023
dataset/test\n000011\0285_06.jpg,genuine,n000011
dataset/test\n000026\0051_04.jpg,impostor,n000018
dataset/test\n000003\0227_01.jpg,impostor,n000016
dataset/test\n000025\0136_01.jpg,impostor,n000031
dataset/test\n000006\0197_01.jpg,genuine,n000006
dataset/test\n000031\0072_01.jpg,impostor,n000024
dataset/test\n000020\0383_01.jpg,impostor,n000028
dataset/test\n000020\0377_01.jpg,impostor,n000015
dataset/test\n000015\0082_01.jpg,genuine,n000015
dataset/test\n000005\0007_01.jpg,genuine,n000005
dataset/test\n000012\0410_01.jpg,impostor,n000004
dataset/test\n000024\0079_01.jpg,impostor,n000014
dataset/test\n000024\0203_01.jpg,genuine,n000024
dataset/test\n000032\0239_01.jpg,impostor,n000004
dataset/test\n000025\0053_02.jpg,impostor,n000003
dataset/test\n000027\0366_07.jpg,genuine,n000027
dataset/test\n000025\0072_01.jpg,impostor,n000014
dataset/test\n000012\0040_02.jpg,impostor,n000003
dataset/test\n000024\0232_01.jpg,impostor,n000018
dataset/test\n000033\0383_01.jpg,impostor,n000020
dataset/test\n000002\0325_01.jpg,impostor,n000010
dataset/test\n000002\0167_01.jpg,impostor,n000024
dataset/test\n000026\0135_01.jpg,impostor,n000025
dataset/test\n000033\0205_01.jpg,genuine,n000033
dataset/test\n000006\0266_01.jpg,genuine,n000006
dataset/test\n000025\0111_01.jpg,genuine,n000025
dataset/test\n000006\0177_01.jpg,genuine,n000006
dataset/test\n000015\0055_01.jpg,impostor,n000028
dataset/test\n000017\0178_01.jpg,genuine,n000017
dataset/test\n000030\0114_01.jpg,genuine,n000030
dataset/test\n000003\0155_01.jpg,impostor,n000013
dataset/test\n000025\0216_01.jpg,genuine,n000025
dataset/test\n000015\0068_01.jpg,impostor,n000017
dataset/test\n000002\0204_01.jpg,impostor,n000008
dataset/test\n000026\0287_01.jpg,impostor,n000008
dataset/test\n000018\0264_01.jpg,genuine,n000018
dataset/test\n000012\0419_01.jpg,impostor,n000020
dataset/test\n000005\0066_01.jpg,genuine,n000005
dataset/test\n000014\0152_01.jpg,impostor,n000012
dataset/test\n000018\0040_01.jpg,genuine,n000018
dataset/test\n000004\0301_01.jpg,genuine,n000004
dataset/test\n000010\0290_01.jpg,genuine,n000010
dataset/test\n000006\0351_01.jpg,impostor,n000011
dataset/test\n000017\0055_01.jpg,impostor,n000005
dataset/test\n000019\0047_01.jpg,impostor,n000013
dataset/test\n000020\0210_01.jpg,genuine,n000020
dataset/test\n000004\0384_02.jpg,impostor,n000019
dataset/test\n000004\0090_01.jpg,impostor,n000019
dataset/test\n000019\0135_01.jpg,genuine,n000019
dataset/test\n000007\0075_03.jpg,impostor,n000004
dataset/test\n000012\0408_01.jpg,genuine,n000012
dataset/test\n000013\0045_01.jpg,genuine,n000013
dataset/test\n000021\0091_01.jpg,genuine,n000021
dataset/test\n000020\0473_01.jpg,genuine,n000020
dataset/test\n000028\0048_01.jpg,impostor,n000011
dataset/test\n000005\0413_01.jpg,genuine,n000005
dataset/test\n000012\0056_02.jpg,impostor,n000025
dataset/test\n000021\0283_01.jpg,genuine,n000021
dataset/test\n000002\0186_01.jpg,impostor,n000021
dataset/test\n000025\0285_01.jpg,impostor,n000022
dataset/test\n000032\0074_01.jpg,genuine,n000032
dataset/test\n000020\0264_01.jpg,genuine,n000020
dataset/test\n000016\0457_01.jpg,impostor,n000021
dataset/test\n000023\0034_01.jpg,genuine,n000023
dataset/test\n000015\0192_02.jpg,impostor,n000026
dataset/test\n000025\0165_01.jpg,genuine,n000025
dataset/test\n000011\0055_02.jpg,genuine,n000011
dataset/test\n000017\0180_01.jpg,impostor,n000020
dataset/test\n000022\0017_01.jpg,impostor,n000005
dataset/test\n000013\0296_01.jpg,genuine,n000013
dataset/test\n000022\0087_01.jpg,impostor,n000011
dataset/test\n000012\0425_01.jpg,genuine,n000012
dataset/test\n000024\0324_03.jpg,impostor,n000015
dataset/test\n000020\0438_01.jpg,genuine,n000020
dataset/test\n000021\0113_01.jpg,genuine,n000021
dataset/test\n000023\0052_01.jpg,impostor,n000016
dataset/test\n000019\0034_02.jpg,impostor,n000005
dataset/test\n000031\0153_01.jpg,impostor,n000020
dataset/test\n000019\0016_03.jpg,impostor,n000021
dataset/test\n000027\0421_01.jpg,genuine,n000027
dataset/test\n000024\0356_01.jpg,impostor,n000007
dataset/test\n000033\0090_01.jpg,impostor,n000005
dataset/test\n000032\0412_01.jpg,genuine,n000032
dataset/test\n000007\0059_01.jpg,impostor,n000006
dataset/test\n000033\0414_01.jpg,impostor,n000019
dataset/test\n000028\0021_01.jpg,genuine,n000028
dataset/test\n000011\0280_04.jpg,impostor,n000026
dataset/test\n000004\0176_01.jpg,impostor,n000017
dataset/test\n000012\0252_01.jpg,genuine,n000012
dataset/test\n000008\0119_01.jpg,genuine,n000008
dataset/test\n000019\0395_01.jpg,genuine,n000019
dataset/test\n000017\0309_02.jpg,impostor,n000003
dataset/test\n000020\0196_01.jpg,impostor,n000032
dataset/test\n000003\0091_01.jpg,impostor,n000005
dataset/test\n000027\0156_01.jpg,impostor,n000023
dataset/test\n000024\0472_02.jpg,genuine,n000024
dataset/test\n000032\0561_01.jpg,genuine,n000032
dataset/test\n000024\0114_01.jpg,genuine,n000024
dataset/test\n000032\0064_01.jpg,impostor,n000003
dataset/test\n000021\0171_01.jpg,impostor,n000027
dataset/test\n000016\0298_01.jpg,genuine,n000016
dataset/test\n000023\0207_10.jpg,genuine,n000023
dataset/test\n000018\0296_01.jpg,impostor,n000016
dataset/test\n000024\0181_01.jpg,impostor,n000025
dataset/test\n000028\0143_01.jpg,genuine,n000028
dataset/test\n000011\0023_01.jpg,genuine,n000011
dataset/test\n000032\0434_02.jpg,impostor,n000004
dataset/test\n000002\0204_03.jpg,genuine,n000002
dataset/test\n000027\0434_02.jpg,genuine,n000027
dataset/test\n000021\0077_01.jpg,impostor,n000005
dataset/test\n000024\0115_01.jpg,genuine,n000024
dataset/test\n000014\0094_01.jpg,genuine,n000014
dataset/test\n000007\0125_01.jpg,genuine,n000007
dataset/test\n000020\0431_02.jpg,genuine,n000020
dataset/test\n000016\0383_01.jpg,impostor,n000010
dataset/test\n000014\0048_01.jpg,genuine,n000014
dataset/test\n000032\0340_01.jpg,impostor,n000003
dataset/test\n000015\0190_02.jpg,genuine,n000015
dataset/test\n000027\0032_05.jpg,genuine,n000027
dataset/test\n000002\0179_01.jpg,genuine,n000002
dataset/test\n000013\0016_01.jpg,impostor,n000005
dataset/test\n000025\0236_07.jpg,impostor,n000004
dataset/test\n000024\0367_01.jpg,impostor,n000003
dataset/test\n000030\0041_01.jpg,impostor,n000008
dataset/test\n000019\0089_01.jpg,impostor,n000027
dataset/test\n000031\0042_01.jpg,impostor,n000030
dataset/test\n000027\0044_01.jpg,impostor,n000028
dataset/test\n000020\0078_01.jpg,genuine,n000020
dataset/test\n000021\0111_01.jpg,genuine,n000021
dataset/test\n000012\0120_01.jpg,genuine,n000012
dataset/test\n000032\0236_01.jpg,genuine,n000032
dataset/test\n000002\0279_01.jpg,genuine,n000002
dataset/test\n000023\0400_01.jpg,impostor,n000017
dataset/test\n000024\0433_01.jpg,genuine,n000024
dataset/test\n000017\0138_02.jpg,genuine,n000017
dataset/test\n000032\0200_01.jpg,genuine,n000032
dataset/test\n000013\0042_01.jpg,genuine,n000013
dataset/test\n000032\0381_01.jpg,genuine,n000032
dataset/test\n000032\0233_01.jpg,genuine,n000032
dataset/test\n000028\0063_02.jpg,impostor,n000010
dataset/test\n000014\0053_01.jpg,genuine,n000014
dataset/test\n000006\0292_01.jpg,impostor,n000004
dataset/test\n000019\0101_01.jpg,genuine,n000019
dataset/test\n000030\0094_01.jpg,genuine,n000030
dataset/test\n000032\0186_02.jpg,genuine,n000032
dataset/test\n000016\0004_01.jpg,impostor,n000003
dataset/test\n000005\0018_01.jpg,genuine,n000005
dataset/test\n000002\0249_01.jpg,impostor,n000028
dataset/test\n000007\0165_02.jpg,genuine,n000007
dataset/test\n000023\0202_02.jpg,genuine,n000023
dataset/test\n000030\0098_01.jpg,genuine,n000030
dataset/test\n000033\0267_01.jpg,impostor,n000002
dataset/test\n000032\0034_01.jpg,genuine,n000032
dataset/test\n000026\0229_01.jpg,impostor,n000030
dataset/test\n000005\0102_01.jpg,genuine,n000005
dataset/test\n000032\0023_01.jpg,impostor,n000004
dataset/test\n000010\0034_01.jpg,impostor,n000022
dataset/test\n000015\0092_02.jpg,genuine,n000015
dataset/test\n000013\0086_01.jpg,impostor,n000019
dataset/test\n000026\0290_05.jpg,impostor,n000007
dataset/test\n000017\0041_01.jpg,genuine,n000017
dataset/test\n000008\0057_01.jpg,genuine,n000008
dataset/test\n000033\0023_01.jpg,impostor,n000003
dataset/test\n000012\0386_02.jpg,genuine,n000012
dataset/test\n000017\0068_01.jpg,genuine,n000017
dataset/test\n000015\0027_03.jpg,impostor,n000017
dataset/test\n000025\0196_01.jpg,genuine,n000025
